registrationId,status,grade,RegistratedTo,RegistratedBy
R230,completed,5,I-2366,19890416-0034
R231,completed,3,I-4236,19890416-0034
R232,completed,3,I-5186,19890416-0034
R233,completed,5,I-2566,19890416-0034
R234,completed,4,I-3295,19890416-0034
R235,completed,4,I-3711,19890416-0034
R236,completed,5,I-3297,19890416-0034
R237,completed,3,I-691,19890416-0034
R238,completed,5,I-3364,19891011-0035
R239,completed,3,I-317,19891011-0035
R240,completed,3,I-3365,19891011-0035
R241,completed,3,I-3369,19891011-0035
R242,completed,4,I-3169,19891011-0035
R243,completed,4,I-3790,19891011-0035
R244,completed,5,I-1287,19891011-0035
R245,completed,5,I-1597,19891011-0035
R246,completed,3,I-2756,19890927-0036
R247,completed,5,I-2550,19890927-0036
R248,completed,4,I-2026,19890927-0036
R249,completed,4,I-3072,19890927-0036
R250,completed,5,I-5277,19890927-0036
R251,completed,5,I-2245,19890927-0036
R252,completed,3,I-4964,19890927-0036
R253,completed,5,I-3179,19890927-0036
R254,completed,3,I-3176,19890927-0036
R255,completed,5,I-1712,19890927-0036
R256,completed,5,I-1294,19890927-0036
R257,completed,5,I-4639,19890927-0036
R258,completed,5,I-3180,19890927-0036
R259,completed,3,I-3184,19890927-0036
R260,completed,5,I-3288,19890927-0036
R261,completed,4,I-249,19890927-0036
R262,completed,3,I-2989,19890927-0036
R263,completed,3,I-3291,19890927-0036
R264,completed,4,I-1904,19870422-0037
R265,completed,4,I-2013,19870422-0037
R266,completed,4,I-1909,19870422-0037
R267,completed,5,I-1906,19870422-0037
R268,completed,3,I-756,19870422-0037
R269,completed,4,I-2646,19870422-0037
R270,completed,5,I-4422,19870422-0037
R271,completed,4,I-11,19870422-0037
R272,completed,3,I-2026,19870422-0037
R273,completed,4,I-2878,19870422-0037
R274,completed,5,I-5279,19870422-0037
R275,completed,4,I-2139,19870422-0037
R276,completed,3,I-3698,19870422-0037
R277,completed,4,I-237,19881020-0039
R278,completed,3,I-666,19881020-0039
R279,completed,3,I-667,19881020-0039
R280,completed,3,I-2032,19881020-0039
R281,completed,5,I-5072,19881020-0039
R282,completed,5,I-247,19881020-0039
R283,completed,5,I-4761,19881020-0039
R284,completed,5,I-783,19881020-0039
R285,completed,3,I-890,19881020-0039
R286,completed,4,I-4136,19881020-0039
R287,completed,4,I-2786,19881020-0039
R288,completed,3,I-893,19881020-0039
R289,completed,3,I-1291,19881216-0040
R290,completed,4,I-4113,19881216-0040
R291,completed,5,I-2770,19881216-0040
R292,completed,3,I-4749,19881216-0040
R293,completed,3,I-2776,19881216-0040
R294,completed,5,I-4324,19881216-0040
R295,completed,4,I-3907,19881216-0040
R296,completed,4,I-5187,19881216-0040
R297,completed,4,I-1415,19881216-0040
R298,completed,4,I-1417,19881216-0040
R299,completed,5,I-3291,19881216-0040
R300,completed,3,I-1421,19881216-0040
R301,completed,4,I-1420,19881216-0040
R302,completed,4,I-1200,19881216-0040
R303,completed,3,I-2873,19870720-0041
R304,completed,3,I-2876,19870720-0041
R305,completed,4,I-2874,19870720-0041
R306,completed,4,I-557,19870720-0041
R307,completed,3,I-5065,19870720-0041
R308,completed,5,I-2878,19870720-0041
R309,completed,5,I-2882,19870720-0041
R310,completed,5,I-978,19870720-0041
R311,completed,5,I-2879,19870720-0041
R312,completed,5,I-2986,19870720-0041
R313,completed,4,I-3495,19870720-0041
R314,completed,4,I-2988,19870720-0041
R315,completed,4,I-3293,19870720-0041
R316,completed,4,I-5043,19880818-0043
R317,completed,3,I-3160,19880818-0043
R318,completed,5,I-5045,19880818-0043
R319,completed,5,I-5051,19880818-0043
R320,completed,4,I-2441,19880818-0043
R321,completed,5,I-2969,19880818-0043
R322,completed,4,I-5165,19880818-0043
R323,completed,4,I-3784,19880818-0043
R324,completed,4,I-325,19880204-0045
R325,completed,5,I-2341,19880204-0045
R326,completed,3,I-867,19880204-0045
R327,completed,5,I-5489,19880204-0045
R328,completed,5,I-25,19880204-0045
R329,completed,4,I-442,19880204-0045
R330,completed,5,I-443,19880204-0045
R331,completed,3,I-444,19880204-0045
R332,completed,3,I-885,19880204-0045
R333,completed,5,I-3393,19880204-0045
R334,completed,3,I-2674,19880204-0045
R335,completed,4,I-678,19880204-0045
R336,completed,5,I-2746,19880807-0046
R337,completed,5,I-3570,19880807-0046
R338,completed,3,I-1905,19880807-0046
R339,completed,5,I-2749,19880807-0046
R340,completed,5,I-3677,19890219-0047
R341,completed,5,I-5152,19890219-0047
R342,completed,3,I-2434,19890219-0047
R343,completed,5,I-1274,19890219-0047
R344,completed,4,I-2547,19890219-0047
R345,completed,5,I-2548,19890219-0047
R346,completed,5,I-4103,19890219-0047
R347,completed,4,I-3071,19890219-0047
R348,completed,5,I-4099,19870412-0048
R349,completed,5,I-5044,19870412-0048
R350,completed,3,I-643,19870412-0048
R351,completed,3,I-4098,19870412-0048
R352,completed,5,I-3370,19870412-0048
R353,completed,4,I-644,19870412-0048
R354,completed,5,I-647,19870412-0048
R355,completed,4,I-755,19870412-0048
R356,completed,4,I-2333,19870412-0048
R357,completed,5,I-646,19870412-0048
R358,completed,4,I-758,19870412-0048
R359,completed,5,I-762,19870412-0048
R360,completed,3,I-2135,19870412-0048
R361,completed,5,I-127,19870412-0048
R362,completed,4,I-134,19870412-0048
R363,completed,4,I-3080,19870412-0048
R364,completed,5,I-879,19870412-0048
R365,completed,5,I-874,19870412-0048
R366,completed,3,I-873,19870412-0048
R367,completed,3,I-5273,19870412-0048
R368,completed,4,I-3689,19870412-0048
R369,completed,4,I-669,19870412-0048
R370,completed,3,I-3277,19870412-0048
R371,completed,5,I-872,19870412-0048
R372,completed,4,I-11,19860119-0049
R373,completed,5,I-12,19860119-0049
R374,completed,5,I-331,19860119-0049
R375,completed,5,I-15,19860119-0049
R376,completed,4,I-130,19860119-0049
R377,completed,3,I-5388,19860119-0049
R378,completed,4,I-1511,19860119-0049
R379,completed,3,I-768,19860119-0049
R380,completed,4,I-4542,19860119-0049
R381,completed,3,I-248,19860119-0049
R382,completed,3,I-560,19860119-0049
R383,completed,4,I-3187,19860119-0049
R384,completed,5,I-2034,19880522-0050
R385,completed,5,I-4122,19880522-0050
R386,completed,5,I-2249,19880522-0050
R387,completed,4,I-3590,19880522-0050
R388,completed,3,I-345,19880522-0050
R389,completed,3,I-247,19880522-0050
R390,completed,5,I-1422,19880522-0050
R391,completed,5,I-4761,19880522-0050
R392,completed,5,I-2055,19880522-0050
R393,completed,3,I-891,19880522-0050
R394,completed,3,I-3917,19880522-0050
R395,completed,4,I-51,19880522-0050
R396,completed,3,I-959,19851109-0051
R397,completed,3,I-2337,19851109-0051
R398,completed,5,I-2434,19851109-0051
R399,completed,4,I-1067,19851109-0051
R400,completed,3,I-2547,19851109-0051
R401,completed,3,I-2548,19851109-0051
R402,completed,5,I-4103,19851109-0051
R403,completed,4,I-2550,19851109-0051
R404,completed,3,I-1700,19890611-0052
R405,completed,5,I-1701,19890611-0052
R406,completed,5,I-1704,19890611-0052
R407,completed,3,I-3269,19890611-0052
R408,completed,5,I-2026,19890611-0052
R409,completed,3,I-1396,19890611-0052
R410,completed,5,I-3076,19890611-0052
R411,completed,4,I-2868,19890611-0052
R412,completed,3,I-1811,19890611-0052
R413,completed,3,I-4860,19890611-0052
R414,completed,4,I-1814,19890611-0052
R415,completed,4,I-1813,19890611-0052
R416,completed,3,I-1815,19890611-0052
R417,completed,3,I-2449,19890611-0052
R418,completed,5,I-5380,19890611-0052
R419,completed,5,I-2979,19890611-0052
R420,completed,4,I-4936,19870427-0056
R421,completed,4,I-2861,19870427-0056
R422,completed,3,I-219,19870427-0056
R423,completed,3,I-5261,19870427-0056
R424,completed,3,I-4525,19870427-0056
R425,completed,5,I-2021,19870427-0056
R426,completed,5,I-662,19870427-0056
R427,completed,3,I-4311,19870427-0056
R428,completed,4,I-4854,19870427-0056
R429,completed,4,I-5172,19870427-0056
R430,completed,4,I-5382,19870427-0056
R431,completed,3,I-5177,19870427-0056
R432,completed,5,I-4946,19861117-0057
R433,completed,5,I-4947,19861117-0057
R434,completed,4,I-3073,19861117-0057
R435,completed,4,I-4949,19861117-0057
R436,completed,4,I-4953,19861117-0057
R437,completed,4,I-4951,19861117-0057
R438,completed,4,I-4423,19861117-0057
R439,completed,3,I-4948,19861117-0057
R440,completed,3,I-1080,19861117-0057
R441,completed,3,I-5063,19861117-0057
R442,completed,4,I-5065,19861117-0057
R443,completed,5,I-5381,19861117-0057
R444,completed,4,I-5179,19861117-0057
R445,completed,5,I-5180,19861117-0057
R446,completed,4,I-2147,19861117-0057
R447,completed,3,I-984,19861117-0057
R448,completed,3,I-565,19861117-0057
R449,completed,3,I-1305,19861117-0057
R450,completed,3,I-5184,19861117-0057
R451,completed,4,I-3187,19861117-0057
R452,completed,4,I-534,19891109-0058
R453,completed,3,I-2637,19891109-0058
R454,completed,5,I-2641,19891109-0058
R455,completed,4,I-1382,19891109-0058
R456,completed,5,I-2233,19891109-0058
R457,completed,3,I-22,19891109-0058
R458,completed,3,I-2757,19891109-0058
R459,completed,5,I-2761,19891109-0058
R460,completed,3,I-5385,19890705-0059
R461,completed,5,I-3584,19890705-0059
R462,completed,4,I-136,19890705-0059
R463,completed,5,I-3586,19890705-0059
R464,completed,3,I-3699,19890705-0059
R465,completed,4,I-2990,19890705-0059
R466,completed,3,I-2364,19890705-0059
R467,completed,3,I-3702,19890705-0059
R468,completed,4,I-2232,19860128-0061
R469,completed,3,I-2348,19860128-0061
R470,completed,4,I-2235,19860128-0061
R471,completed,4,I-5169,19860128-0061
R472,completed,3,I-2350,19860128-0061
R473,completed,4,I-2351,19860128-0061
R474,completed,5,I-2353,19860128-0061
R475,completed,3,I-1512,19860128-0061
R476,completed,3,I-4310,19850704-0062
R477,completed,3,I-3072,19850704-0062
R478,completed,4,I-1498,19850704-0062
R479,completed,4,I-1499,19850704-0062
R480,completed,4,I-5274,19850704-0062
R481,completed,5,I-1610,19850704-0062
R482,completed,5,I-1608,19850704-0062
R483,completed,3,I-871,19850704-0062
R484,completed,3,I-225,19860412-0063
R485,completed,3,I-4731,19860412-0063
R486,completed,3,I-640,19860412-0063
R487,completed,5,I-1383,19860412-0063
R488,completed,3,I-3467,19870918-0064
R489,completed,3,I-2956,19870918-0064
R490,completed,4,I-2119,19870918-0064
R491,completed,4,I-2959,19870918-0064
R492,completed,3,I-4638,19880307-0065
R493,completed,4,I-1088,19880307-0065
R494,completed,5,I-4643,19880307-0065
R495,completed,4,I-2138,19880307-0065
R496,completed,3,I-4640,19880307-0065
R497,completed,4,I-4649,19880307-0065
R498,completed,4,I-4645,19880307-0065
R499,completed,4,I-3184,19880307-0065
R500,completed,3,I-4644,19880307-0065
R501,completed,3,I-2244,19880307-0065
R502,completed,5,I-3907,19880307-0065
R503,completed,4,I-4755,19880307-0065
R504,completed,5,I-4757,19880307-0065
R505,completed,5,I-4756,19880307-0065
R506,completed,3,I-1951,19880307-0065
R507,completed,3,I-3195,19880307-0065
R508,completed,5,I-155,19880307-0065
R509,completed,5,I-3303,19880307-0065
R510,completed,5,I-4644,19861216-0066
R511,completed,5,I-5278,19861216-0066
R512,completed,3,I-3178,19861216-0066
R513,completed,5,I-1711,19861216-0066
R514,completed,3,I-1725,19861216-0066
R515,completed,4,I-989,19861216-0066
R516,completed,4,I-4541,19861216-0066
R517,completed,3,I-1821,19861216-0066
R518,completed,4,I-1298,19850124-0067
R519,completed,4,I-3382,19850124-0067
R520,completed,5,I-3384,19850124-0067
R521,completed,3,I-4531,19850124-0067
R522,completed,3,I-2362,19850124-0067
R523,completed,4,I-5392,19850124-0067
R524,completed,3,I-3070,19880118-0068
R525,completed,3,I-3071,19880118-0068
R526,completed,3,I-3997,19880118-0068
R527,completed,4,I-1703,19880118-0068
R528,completed,5,I-3174,19880118-0068
R529,completed,3,I-3175,19880118-0068
R530,completed,3,I-3179,19880118-0068
R531,completed,3,I-3185,19880118-0068
R532,completed,4,I-3288,19880118-0068
R533,completed,5,I-3290,19880118-0068
R534,completed,4,I-5396,19880118-0068
R535,completed,5,I-4650,19880118-0068
R536,completed,4,I-1273,19870727-0069
R537,completed,5,I-2543,19870727-0069
R538,completed,5,I-1278,19870727-0069
R539,completed,3,I-3069,19870727-0069
R540,completed,5,I-3788,19870727-0069
R541,completed,4,I-1392,19870727-0069
R542,completed,3,I-1397,19870727-0069
R543,completed,4,I-1399,19870727-0069
R544,completed,4,I-1395,19870727-0069
R545,completed,4,I-1394,19870727-0069
R546,completed,4,I-2762,19870727-0069
R547,completed,3,I-1398,19870727-0069
R548,completed,4,I-1922,19851126-0070
R549,completed,4,I-1923,19851126-0070
R550,completed,5,I-1924,19851126-0070
R551,completed,4,I-1925,19851126-0070
R552,completed,4,I-676,19851126-0070
R553,completed,3,I-2038,19851126-0070
R554,completed,3,I-1304,19851126-0070
R555,completed,4,I-2041,19851126-0070
R556,completed,4,I-1215,19851126-0070
R557,completed,3,I-2157,19851126-0070
R558,completed,5,I-4239,19851126-0070
R559,completed,3,I-4240,19851126-0070
R560,completed,5,I-11,19850522-0072
R561,completed,3,I-12,19850522-0072
R562,completed,4,I-16,19850522-0072
R563,completed,3,I-15,19850522-0072
R564,completed,3,I-660,19850522-0072
R565,completed,3,I-3273,19850522-0072
R566,completed,5,I-19,19850522-0072
R567,completed,3,I-2240,19850522-0072
R568,completed,5,I-1705,19850522-0072
R569,completed,5,I-22,19850522-0072
R570,completed,4,I-130,19850522-0072
R571,completed,3,I-2763,19850522-0072
R572,completed,3,I-1511,19850522-0072
R573,completed,5,I-133,19850522-0072
R574,completed,4,I-246,19850522-0072
R575,completed,5,I-249,19850522-0072
R576,completed,4,I-560,19850522-0072
R577,completed,3,I-5186,19850522-0072
R578,completed,3,I-3467,19861115-0074
R579,completed,4,I-4937,19861115-0074
R580,completed,4,I-4938,19861115-0074
R581,completed,5,I-119,19861115-0074
R582,completed,5,I-4525,19861115-0074
R583,completed,5,I-5054,19861115-0074
R584,completed,3,I-2869,19861115-0074
R585,completed,3,I-4744,19861115-0074
R586,completed,5,I-2768,19861115-0074
R587,completed,3,I-1088,19861115-0074
R588,completed,4,I-3488,19861115-0074
R589,completed,5,I-5173,19861115-0074
R590,completed,3,I-1494,19890622-0076
R591,completed,5,I-3997,19890622-0076
R592,completed,4,I-329,19890622-0076
R593,completed,5,I-1500,19890622-0076
R594,completed,4,I-1607,19890622-0076
R595,completed,3,I-3697,19890622-0076
R596,completed,3,I-1608,19890622-0076
R597,completed,4,I-1613,19890622-0076
R598,completed,4,I-4101,19850206-0077
R599,completed,5,I-4632,19850206-0077
R600,completed,3,I-2969,19850206-0077
R601,completed,3,I-4111,19850206-0077
R602,completed,4,I-4217,19850206-0077
R603,completed,5,I-5177,19850206-0077
R604,completed,5,I-4006,19850206-0077
R605,completed,4,I-4963,19850206-0077
R606,completed,4,I-4405,19860516-0078
R607,completed,3,I-3776,19860516-0078
R608,completed,5,I-2339,19860516-0078
R609,completed,5,I-4409,19860516-0078
R610,completed,3,I-4522,19860516-0078
R611,completed,3,I-4523,19860516-0078
R612,completed,5,I-3271,19860516-0078
R613,completed,3,I-1285,19860516-0078
R614,completed,5,I-2640,19891104-0079
R615,completed,3,I-1795,19891104-0079
R616,completed,4,I-1385,19891104-0079
R617,completed,5,I-3778,19891104-0079
R618,completed,5,I-1587,19870128-0080
R619,completed,3,I-1588,19870128-0080
R620,completed,5,I-1591,19870128-0080
R621,completed,5,I-1176,19870128-0080
R622,completed,5,I-754,19870128-0080
R623,completed,5,I-1595,19870128-0080
R624,completed,4,I-1596,19870128-0080
R625,completed,3,I-5156,19870128-0080
R626,completed,4,I-1592,19870128-0080
R627,completed,3,I-1797,19870507-0082
R628,completed,4,I-641,19870507-0082
R629,completed,4,I-4098,19870507-0082
R630,completed,5,I-647,19870507-0082
R631,completed,4,I-758,19870507-0082
R632,completed,3,I-764,19870507-0082
R633,completed,5,I-760,19870507-0082
R634,completed,3,I-126,19870507-0082
R635,completed,5,I-5276,19870507-0082
R636,completed,5,I-4322,19870507-0082
R637,completed,4,I-879,19870507-0082
R638,completed,5,I-980,19870507-0082
R639,completed,4,I-1914,19870308-0083
R640,completed,5,I-2442,19870308-0083
R641,completed,5,I-1917,19870308-0083
R642,completed,3,I-3481,19870308-0083
R643,completed,3,I-2027,19870308-0083
R644,completed,4,I-4959,19870308-0083
R645,completed,4,I-4005,19870308-0083
R646,completed,4,I-2033,19870308-0083
R647,completed,3,I-32,19870308-0083
R648,completed,3,I-5075,19870308-0083
R649,completed,3,I-248,19870308-0083
R650,completed,3,I-2148,19870308-0083
R651,completed,4,I-3583,19851112-0084
R652,completed,5,I-3584,19851112-0084
R653,completed,4,I-136,19851112-0084
R654,completed,4,I-3586,19851112-0084
R655,completed,5,I-3699,19851112-0084
R656,completed,5,I-3912,19851112-0084
R657,completed,3,I-2364,19851112-0084
R658,completed,4,I-40,19851112-0084
R659,completed,3,I-4936,19861015-0085
R660,completed,4,I-4937,19861015-0085
R661,completed,5,I-4938,19861015-0085
R662,completed,3,I-4939,19861015-0085
R663,completed,5,I-5052,19861015-0085
R664,completed,3,I-3271,19861015-0085
R665,completed,4,I-5370,19861015-0085
R666,completed,5,I-5053,19861015-0085
R667,completed,3,I-4635,19861015-0085
R668,completed,5,I-2442,19861015-0085
R669,completed,3,I-967,19861015-0085
R670,completed,3,I-5057,19861015-0085
R671,completed,5,I-1184,19861015-0085
R672,completed,5,I-1195,19861015-0085
R673,completed,3,I-5171,19861015-0085
R674,completed,4,I-4530,19861015-0085
R675,completed,4,I-3687,19861015-0085
R676,completed,3,I-4405,19870304-0086
R677,completed,4,I-4839,19870304-0086
R678,completed,3,I-3,19870304-0086
R679,completed,3,I-4407,19870304-0086
R680,completed,5,I-2434,19870304-0086
R681,completed,5,I-3881,19870304-0086
R682,completed,5,I-3990,19870304-0086
R683,completed,5,I-3264,19870304-0086
R684,completed,3,I-4522,19870304-0086
R685,completed,5,I-3372,19870304-0086
R686,completed,4,I-4744,19870304-0086
R687,completed,5,I-5052,19870304-0086
R688,completed,3,I-3260,19870901-0087
R689,completed,3,I-3261,19870901-0087
R690,completed,5,I-3262,19870901-0087
R691,completed,5,I-5361,19870901-0087
R692,completed,5,I-4936,19870813-0088
R693,completed,3,I-2120,19870813-0088
R694,completed,4,I-2957,19870813-0088
R695,completed,4,I-2119,19870813-0088
R696,completed,3,I-2337,19871013-0089
R697,completed,4,I-2748,19871013-0089
R698,completed,3,I-3773,19871013-0089
R699,completed,3,I-1799,19871013-0089
R700,completed,4,I-756,19871013-0089
R701,completed,5,I-1173,19871013-0089
R702,completed,4,I-1913,19871013-0089
R703,completed,4,I-2646,19871013-0089
