InstanceId,studyPeriod,academicYear,planningNumStudents,seniorHours,assistantHours,Contains,ExaminedBy
I-51,3,2017-2018,50,260,360,1082,19690408-0009
I-52,1,2017-2018,20,240,300,1033,19561222-0030
I-53,3,2018-2019,60,280,420,1144,19650303-0019
I-54,1,2018-2019,60,280,300,1250,19690513-0015
I-55,2,2018-2019,50,240,240,1243,19620522-0023
I-56,2,2018-2019,20,280,360,1147,19640220-0029
I-57,1,2018-2019,60,280,300,1133,19620831-0024
I-58,3,2018-2019,40,260,300,1239,19690408-0009
I-59,1,2018-2019,40,260,240,1220,19620424-0026
I-60,3,2018-2019,60,260,240,1178,19690408-0009
I-61,2,2018-2019,20,260,300,1168,19580218-0007
I-62,2,2018-2019,50,260,420,1078,19580218-0007
I-63,3,2018-2019,40,260,200,1027,19601021-0018
I-64,3,2019-2020,50,240,200,1157,19570826-0012
I-65,2,2019-2020,40,260,300,1244,19690917-0022
I-66,3,2019-2020,20,280,280,1183,19650303-0019
I-67,2,2019-2020,40,240,300,1108,19560812-0016
I-68,2,2019-2020,40,260,240,1267,19611219-0014
I-69,4,2019-2020,60,240,280,1250,19640220-0029
I-70,3,2019-2020,40,260,420,1246,19620831-0024
I-71,1,2019-2020,20,260,200,1135,19560812-0016
I-72,2,2019-2020,60,240,300,1099,19610620-0006
I-73,2,2020-2021,60,260,420,1284,19600814-0002
I-74,1,2020-2021,50,240,420,1239,19601021-0018
I-75,1,2020-2021,20,260,360,1155,19570615-0011
I-76,4,2020-2021,50,280,360,1130,19560812-0016
I-77,4,2020-2021,60,280,240,1278,19600905-0003
I-78,1,2020-2021,20,240,240,1204,19690408-0009
I-79,2,2020-2021,50,260,200,1092,19690917-0022
I-80,4,2020-2021,60,280,200,1060,19611219-0014
I-81,2,2021-2022,40,280,200,1203,19600905-0003
I-82,3,2021-2022,40,280,240,1086,19560705-0025
I-83,2,2021-2022,20,260,360,1180,19560705-0025
I-84,2,2021-2022,60,260,360,1167,19650303-0019
I-85,2,2021-2022,60,260,420,1136,19590129-0004
I-86,1,2021-2022,60,240,360,1048,19690917-0022
I-87,2,2021-2022,20,280,360,1194,19570828-0008
I-88,1,2021-2022,20,280,280,1079,19640220-0029
I-89,4,2021-2022,20,280,280,1054,19570826-0012
I-90,2,2021-2022,60,240,420,1043,19560612-0010
I-91,4,2021-2022,60,280,420,1006,19580218-0007
I-92,1,2022-2023,50,240,240,1263,19580515-0017
I-93,3,2022-2023,40,280,300,1282,19620424-0026
I-94,3,2022-2023,20,240,200,1170,19570828-0008
I-95,4,2022-2023,40,240,420,1098,19611219-0014
I-96,4,2022-2023,40,240,200,1005,19590129-0004
I-97,3,2022-2023,20,280,420,1255,19660630-0020
I-98,3,2022-2023,60,240,360,1222,19611219-0014
I-99,3,2022-2023,60,260,300,1178,19680712-0028
I-100,1,2022-2023,60,240,300,1088,19650303-0019
I-101,3,2022-2023,60,240,420,1070,19601021-0018
I-102,2,2022-2023,40,240,360,1067,19580515-0017
I-103,3,2023-2024,50,260,300,1014,19561222-0030
I-104,4,2023-2024,60,280,200,1299,19630126-0001
I-105,2,2023-2024,20,260,240,1296,19570828-0008
I-106,3,2023-2024,60,260,240,1132,19590129-0004
I-107,2,2023-2024,20,240,360,1046,19570615-0011
I-108,2,2023-2024,20,240,360,1289,19610620-0006
I-109,1,2023-2024,50,240,200,1223,19650303-0019
I-110,2,2023-2024,50,240,300,1137,19611219-0014
I-111,4,2023-2024,40,280,300,1082,19580515-0017
I-112,1,2013-2014,60,240,360,1265,19561222-0030
I-113,3,2013-2014,40,280,280,1213,19590129-0004
I-114,3,2013-2014,20,240,360,1085,19561222-0030
I-115,1,2013-2014,50,260,420,1075,19620424-0026
I-116,2,2013-2014,60,240,240,1272,19601021-0018
I-117,3,2013-2014,20,240,200,1139,19650303-0019
I-118,1,2013-2014,60,280,240,1101,19570615-0011
I-119,4,2013-2014,50,240,420,1098,19561222-0030
I-120,1,2013-2014,60,280,300,1083,19680712-0028
I-121,3,2014-2015,50,260,420,1185,19560705-0025
I-122,2,2014-2015,20,240,420,1271,19690408-0009
I-123,3,2014-2015,20,240,200,1258,19600529-0021
I-124,2,2014-2015,60,260,280,1073,19690917-0022
I-125,3,2014-2015,60,240,300,1065,19580515-0017
I-126,4,2014-2015,40,280,200,1218,19570828-0008
I-127,4,2014-2015,60,260,280,1208,19690917-0022
I-128,3,2014-2015,50,260,240,1100,19580515-0017
I-129,1,2014-2015,50,280,300,1090,19620424-0026
I-130,2,2015-2016,50,240,240,1221,19600905-0003
I-131,4,2015-2016,60,260,200,1073,19570828-0008
I-132,4,2015-2016,40,280,420,1230,19610620-0006
I-133,4,2015-2016,40,280,420,1208,19600905-0003
I-134,3,2015-2016,20,260,360,1201,19560812-0016
I-135,4,2015-2016,60,280,280,1199,19680712-0028
I-136,3,2015-2016,20,240,200,1144,19610918-0027
I-137,4,2015-2016,40,260,240,1086,19601021-0018
I-138,2,2015-2016,60,240,240,1040,19600814-0002
I-139,1,2015-2016,20,260,200,1011,19680712-0028
I-140,3,2016-2017,60,280,280,1258,19561222-0030
I-141,2,2016-2017,60,260,300,1284,19690408-0009
I-142,1,2016-2017,20,260,240,1094,19560612-0010
I-143,3,2016-2017,50,240,280,1008,19601021-0018
I-144,1,2016-2017,40,260,420,1250,19611219-0014
I-145,1,2016-2017,40,240,240,1197,19640414-0013
I-146,4,2016-2017,50,280,280,1176,19620522-0023
I-147,2,2016-2017,40,260,360,1011,19690513-0015
I-148,3,2017-2018,20,260,360,1240,19570828-0008
I-149,2,2017-2018,40,260,240,1194,19640414-0013
I-150,4,2017-2018,50,280,240,1208,19600905-0003
I-151,1,2017-2018,50,280,300,1158,19620424-0026
I-152,2,2017-2018,50,260,300,1133,19601021-0018
I-153,2,2017-2018,20,260,420,1060,19690513-0015
I-154,2,2017-2018,50,240,240,1257,19560812-0016
I-155,2,2017-2018,50,280,280,1201,19580218-0007
I-156,4,2017-2018,60,240,200,1169,19600905-0003
I-157,1,2017-2018,40,260,240,1081,19580515-0017
I-158,3,2017-2018,50,260,300,1066,19561222-0030
I-159,4,2017-2018,40,280,280,1021,19680712-0028
I-160,2,2018-2019,50,280,240,1276,19600905-0003
I-161,3,2018-2019,60,280,300,1129,19561222-0030
I-162,1,2018-2019,40,240,360,1117,19640414-0013
I-163,1,2018-2019,20,280,420,1116,19610918-0027
I-164,1,2018-2019,20,240,300,1048,19601021-0018
I-165,3,2018-2019,20,280,200,1248,19561222-0030
I-166,1,2018-2019,60,260,200,1235,19630126-0001
I-167,2,2018-2019,60,240,280,1204,19600905-0003
I-168,2,2018-2019,40,260,420,1153,19640220-0029
I-169,2,2018-2019,20,280,240,1076,19611219-0014
I-170,1,2019-2020,20,260,300,1108,19610620-0006
I-171,1,2019-2020,20,240,360,1077,19590129-0004
I-172,4,2019-2020,60,260,360,1024,19660630-0020
I-173,4,2019-2020,60,240,300,1014,19580515-0017
I-174,2,2019-2020,40,280,360,1234,19590129-0004
I-175,1,2019-2020,50,280,280,1224,19620522-0023
I-176,4,2019-2020,50,280,360,1202,19561222-0030
I-177,4,2019-2020,60,280,200,1200,19560612-0010
I-178,4,2019-2020,20,260,280,1025,19580218-0007
I-179,2,2020-2021,40,240,200,1048,19610918-0027
I-180,1,2020-2021,60,240,280,1196,19640220-0029
I-181,2,2020-2021,20,240,360,1194,19560812-0016
I-182,1,2020-2021,40,240,360,1107,19680712-0028
I-183,2,2020-2021,20,280,280,1096,19560705-0025
I-184,1,2020-2021,60,240,200,1258,19560612-0010
I-185,2,2020-2021,60,260,280,1182,19570826-0012
I-186,4,2020-2021,20,240,420,1158,19600905-0003
I-187,4,2020-2021,60,240,420,1130,19570615-0011
I-188,2,2020-2021,20,260,240,1064,19630126-0001
I-189,4,2021-2022,40,280,300,1142,19601021-0018
I-190,2,2021-2022,60,260,200,1287,19570615-0011
I-191,2,2021-2022,40,280,280,1206,19601021-0018
I-192,1,2021-2022,60,280,300,1236,19610620-0006
I-193,3,2021-2022,40,240,200,1178,19570826-0012
I-194,3,2021-2022,60,240,240,1029,19640414-0013
I-195,2,2021-2022,50,260,240,1024,19610918-0027
I-196,2,2021-2022,40,280,280,1007,19570826-0012
I-197,4,2022-2023,20,240,300,1286,19570826-0012
I-198,4,2022-2023,50,280,280,1187,19560812-0016
I-199,4,2022-2023,40,240,200,1222,19560705-0025
I-200,4,2022-2023,20,260,240,1040,19620831-0024
I-201,4,2022-2023,60,260,200,1275,19620522-0023
I-202,1,2022-2023,40,240,300,1210,19560612-0010
I-203,2,2022-2023,20,280,420,1194,19561222-0030
I-204,4,2022-2023,50,260,280,1191,19560612-0010
I-205,4,2022-2023,60,280,240,1037,19620831-0024
I-206,2,2022-2023,60,240,280,1017,19560612-0010
I-207,3,2023-2024,50,240,300,1163,19620424-0026
I-208,2,2023-2024,50,260,280,1146,19690917-0022
I-209,2,2023-2024,50,280,200,1035,19620424-0026
I-210,2,2023-2024,50,280,420,1010,19640414-0013
I-211,3,2023-2024,60,280,200,1011,19580515-0017
I-212,4,2023-2024,20,240,280,1294,19561222-0030
I-213,3,2023-2024,20,240,420,1283,19640220-0029
I-214,3,2023-2024,20,260,300,1184,19640220-0029
I-215,4,2023-2024,50,260,420,1180,19620424-0026
I-216,1,2013-2014,60,260,280,1236,19640220-0029
I-217,4,2013-2014,20,260,360,1093,19630126-0001
I-218,2,2013-2014,60,280,420,1255,19600529-0021
I-219,1,2013-2014,50,240,240,1235,19650303-0019
I-220,3,2013-2014,20,280,240,1140,19560705-0025
I-221,3,2013-2014,50,240,200,1266,19650303-0019
I-222,2,2013-2014,60,280,280,1160,19600905-0003
I-223,1,2013-2014,20,240,240,1135,19630126-0001
I-224,3,2013-2014,60,260,300,1100,19560612-0010
I-225,3,2013-2014,60,240,280,1037,19561222-0030
I-226,2,2013-2014,60,260,300,1034,19640220-0029
I-227,2,2014-2015,20,280,200,1255,19680712-0028
I-228,1,2014-2015,60,240,200,1033,19630126-0001
I-229,3,2014-2015,60,280,280,1023,19590129-0004
I-230,1,2014-2015,20,240,420,1220,19620424-0026
I-231,3,2014-2015,20,260,300,1149,19600529-0021
I-232,1,2014-2015,20,260,280,1098,19580218-0007
I-233,2,2014-2015,20,260,420,1076,19560705-0025
I-234,3,2014-2015,40,260,300,1032,19630126-0001
I-235,4,2015-2016,20,280,420,1168,19650303-0019
I-236,1,2015-2016,50,280,420,1149,19640220-0029
I-237,1,2015-2016,50,280,240,1146,19580515-0017
I-238,1,2015-2016,40,240,240,1103,19611219-0014
I-239,3,2015-2016,60,260,280,1008,19640220-0029
I-240,4,2015-2016,40,240,420,1233,19680712-0028
I-241,3,2015-2016,60,280,240,1205,19620522-0023
I-242,4,2015-2016,20,260,360,1190,19610918-0027
I-243,2,2015-2016,40,240,420,1067,19570828-0008
I-244,2,2015-2016,20,280,420,1049,19570828-0008
I-245,1,2015-2016,50,240,360,1009,19620424-0026
I-246,2,2016-2017,50,260,300,1128,19690513-0015
I-247,3,2016-2017,40,240,240,1222,19610623-0005
I-248,1,2016-2017,60,260,280,1122,19680712-0028
I-249,1,2016-2017,60,260,300,1120,19561222-0030
I-250,1,2016-2017,20,280,240,1273,19570828-0008
I-251,1,2016-2017,60,280,360,1182,19690408-0009
I-252,3,2016-2017,60,260,280,1150,19600905-0003
I-253,3,2016-2017,60,280,420,1052,19690408-0009
I-254,3,2017-2018,50,240,420,1248,19570615-0011
I-255,1,2017-2018,50,260,420,1221,19640220-0029
I-256,4,2017-2018,50,260,300,1048,19611219-0014
I-257,1,2017-2018,50,260,240,1025,19570615-0011
I-258,3,2017-2018,40,240,280,1238,19620424-0026
I-259,1,2017-2018,40,260,280,1211,19560705-0025
I-260,3,2017-2018,40,240,360,1117,19680712-0028
I-261,2,2017-2018,50,240,240,1072,19611219-0014
I-262,4,2018-2019,40,260,360,1013,19560705-0025
I-263,4,2018-2019,40,280,200,1273,19610918-0027
I-264,3,2018-2019,20,240,360,1230,19580218-0007
I-265,3,2018-2019,40,240,300,1079,19610620-0006
I-266,3,2018-2019,20,280,240,1237,19610620-0006
I-267,2,2018-2019,50,240,420,1205,19570826-0012
I-268,4,2018-2019,40,240,280,1197,19580515-0017
I-269,1,2018-2019,40,260,200,1185,19580515-0017
I-270,2,2018-2019,60,280,240,1058,19601021-0018
I-271,4,2018-2019,40,240,360,1043,19600814-0002
I-272,3,2019-2020,50,240,360,1049,19610620-0006
I-273,2,2019-2020,60,240,360,1205,19690408-0009
I-274,2,2019-2020,20,240,280,1152,19650303-0019
I-275,2,2019-2020,60,260,300,1055,19660630-0020
I-276,4,2019-2020,50,260,200,1292,19560812-0016
I-277,1,2019-2020,60,240,300,1189,19610623-0005
I-278,1,2019-2020,20,240,240,1170,19610918-0027
I-279,2,2019-2020,20,240,240,1118,19570828-0008
I-280,1,2019-2020,40,240,240,1090,19640220-0029
I-281,4,2019-2020,40,240,240,1073,19560705-0025
I-282,4,2020-2021,50,240,420,1077,19650303-0019
I-283,2,2020-2021,20,240,240,1213,19580218-0007
I-284,3,2020-2021,40,260,280,1199,19600529-0021
I-285,1,2020-2021,50,240,240,1049,19560705-0025
I-286,1,2020-2021,60,240,280,1222,19611219-0014
I-287,1,2020-2021,60,260,240,1192,19620831-0024
I-288,4,2020-2021,50,280,420,1164,19560612-0010
I-289,2,2020-2021,60,260,200,1113,19560612-0010
I-290,2,2020-2021,60,240,420,1031,19640414-0013
I-291,3,2021-2022,60,260,360,1276,19600905-0003
I-292,3,2021-2022,60,260,420,1207,19640414-0013
I-293,1,2021-2022,60,280,360,1118,19570615-0011
I-294,4,2021-2022,20,280,300,1217,19690513-0015
I-295,3,2021-2022,20,280,360,1162,19570615-0011
I-296,4,2021-2022,40,280,360,1072,19660630-0020
I-297,1,2021-2022,40,280,360,1064,19580218-0007
I-298,3,2022-2023,60,240,360,1184,19630126-0001
I-299,4,2022-2023,20,240,200,1218,19680712-0028
I-300,1,2022-2023,20,260,240,1066,19600814-0002
I-301,3,2022-2023,50,280,300,1272,19600814-0002
I-302,2,2022-2023,60,280,200,1190,19610623-0005
I-303,1,2022-2023,20,260,200,1131,19600814-0002
I-304,3,2022-2023,20,260,280,1125,19690408-0009
I-305,1,2022-2023,60,260,360,1046,19560812-0016
I-306,1,2023-2024,20,240,280,1070,19560705-0025
I-307,4,2023-2024,20,280,200,1009,19610620-0006
I-308,4,2023-2024,60,240,360,1290,19580515-0017
I-309,2,2023-2024,40,240,360,1173,19620424-0026
I-310,3,2023-2024,40,280,360,1004,19570828-0008
I-311,4,2023-2024,50,240,240,1296,19560612-0010
I-312,4,2023-2024,40,280,300,1240,19600814-0002
I-313,2,2023-2024,20,280,360,1160,19590129-0004
I-314,3,2023-2024,20,240,300,1158,19611219-0014
I-315,2,2023-2024,40,240,240,1115,19560612-0010
I-316,4,2023-2024,60,260,360,1022,19680712-0028
I-317,3,2013-2014,20,280,360,1162,19610623-0005
I-318,2,2013-2014,20,280,300,1240,19570615-0011
I-319,2,2013-2014,40,240,420,1101,19600814-0002
I-320,1,2013-2014,50,280,360,1093,19690513-0015
I-321,4,2013-2014,50,260,300,1262,19690513-0015
I-322,3,2013-2014,40,260,240,1208,19601021-0018
I-323,2,2013-2014,40,240,240,1199,19560705-0025
I-324,2,2013-2014,60,260,420,1083,19560612-0010
I-325,1,2014-2015,20,260,420,1121,19611219-0014
I-326,2,2014-2015,50,260,360,1211,19640414-0013
I-327,4,2014-2015,50,260,200,1171,19570826-0012
I-328,1,2014-2015,20,260,420,1267,19611219-0014
I-329,4,2014-2015,60,240,420,1263,19690917-0022
I-330,1,2014-2015,40,240,240,1160,19620522-0023
I-331,4,2014-2015,40,240,280,1108,19600905-0003
I-332,3,2014-2015,20,280,300,1087,19580218-0007
I-333,4,2014-2015,40,280,240,1083,19611219-0014
I-334,3,2015-2016,60,240,420,1178,19611219-0014
I-335,4,2015-2016,60,280,300,1218,19600529-0021
I-336,1,2015-2016,40,240,240,1200,19610620-0006
I-337,4,2015-2016,20,260,280,1107,19560705-0025
I-338,3,2015-2016,20,260,300,1047,19570826-0012
I-339,3,2015-2016,50,280,300,1293,19570615-0011
I-340,4,2015-2016,50,280,420,1263,19620522-0023
I-341,1,2015-2016,40,260,300,1262,19570826-0012
I-342,2,2015-2016,40,240,360,1106,19600905-0003
I-343,1,2016-2017,60,260,240,1291,19610620-0006
I-344,3,2016-2017,50,280,300,1028,19680712-0028
I-345,3,2016-2017,40,240,280,1265,19680712-0028
I-346,3,2016-2017,40,280,360,1224,19561222-0030
I-347,3,2016-2017,20,280,280,1209,19570828-0008
I-348,2,2016-2017,50,260,280,1059,19590129-0004
I-349,2,2016-2017,50,240,280,1283,19611219-0014
I-350,3,2016-2017,40,280,420,1258,19560812-0016
I-351,1,2016-2017,40,260,280,1115,19640414-0013
I-352,4,2016-2017,60,260,200,1031,19601021-0018
I-353,3,2017-2018,50,240,300,1295,19610620-0006
I-354,4,2017-2018,60,280,360,1031,19600814-0002
I-355,1,2017-2018,20,280,300,1297,19610918-0027
I-356,1,2017-2018,20,280,420,1271,19580218-0007
I-357,3,2017-2018,40,260,420,1084,19690917-0022
I-358,4,2017-2018,40,240,420,1253,19611219-0014
I-359,2,2017-2018,50,260,360,1166,19610623-0005
I-360,2,2017-2018,20,260,360,1155,19620424-0026
I-361,2,2017-2018,20,280,360,1088,19580515-0017
I-362,2,2017-2018,60,280,240,1077,19680712-0028
I-363,4,2018-2019,50,260,360,1104,19610620-0006
I-364,2,2018-2019,60,280,360,1040,19610620-0006
I-365,2,2018-2019,40,260,300,1256,19580515-0017
I-366,3,2018-2019,20,240,420,1233,19640414-0013
I-367,4,2018-2019,50,260,280,1184,19560612-0010
I-368,1,2018-2019,60,240,300,1253,19690513-0015
I-369,3,2018-2019,50,260,280,1189,19650303-0019
I-370,2,2018-2019,60,240,200,1092,19600529-0021
I-371,1,2018-2019,50,240,300,1015,19650303-0019
I-372,4,2018-2019,50,260,360,1006,19680712-0028
I-373,3,2019-2020,20,240,200,1224,19640414-0013
I-374,4,2019-2020,20,240,420,1193,19600529-0021
I-375,2,2019-2020,50,240,300,1142,19600814-0002
I-376,2,2019-2020,20,260,300,1022,19580515-0017
I-377,1,2019-2020,20,280,240,1289,19640220-0029
I-378,1,2019-2020,20,240,300,1274,19660630-0020
I-379,3,2019-2020,40,240,360,1152,19680712-0028
I-380,2,2019-2020,50,260,360,1145,19630126-0001
I-381,4,2019-2020,60,240,280,1136,19560812-0016
I-382,2,2019-2020,50,240,360,1127,19590129-0004
I-383,4,2020-2021,40,280,300,1218,19640414-0013
I-384,4,2020-2021,40,240,420,1186,19610620-0006
I-385,4,2020-2021,40,280,300,1228,19690513-0015
I-386,3,2020-2021,40,280,200,1151,19610620-0006
I-387,3,2020-2021,20,280,240,1109,19630126-0001
I-388,3,2020-2021,60,280,200,1094,19610620-0006
I-389,4,2020-2021,40,260,280,1264,19690513-0015
I-390,1,2020-2021,60,260,200,1137,19690513-0015
I-391,3,2020-2021,20,280,280,1105,19560705-0025
I-392,2,2020-2021,40,240,300,1063,19590129-0004
I-393,1,2020-2021,40,260,300,1047,19660630-0020
I-394,3,2020-2021,50,280,420,1045,19600529-0021
I-395,3,2021-2022,50,260,300,1224,19630126-0001
I-396,1,2021-2022,20,260,200,1055,19620522-0023
I-397,2,2021-2022,40,240,360,1236,19610918-0027
I-398,4,2021-2022,40,280,420,1166,19560812-0016
I-399,2,2021-2022,50,280,360,1047,19630126-0001
I-400,2,2021-2022,60,280,240,1249,19620424-0026
I-401,4,2021-2022,50,280,240,1149,19580515-0017
I-402,1,2021-2022,50,260,240,1073,19590129-0004
I-403,1,2021-2022,50,280,360,1045,19680712-0028
I-404,4,2022-2023,50,240,420,1110,19690513-0015
I-405,3,2022-2023,40,280,300,1251,19570615-0011
I-406,1,2022-2023,40,260,200,1234,19580218-0007
I-407,1,2022-2023,40,280,360,1102,19610623-0005
I-408,3,2022-2023,20,260,240,1049,19640220-0029
I-409,1,2022-2023,60,260,420,1242,19610620-0006
I-410,2,2022-2023,50,240,240,1116,19601021-0018
I-411,3,2022-2023,20,280,360,1087,19690513-0015
I-412,4,2022-2023,40,260,420,1070,19600814-0002
I-413,2,2022-2023,20,240,300,1069,19580218-0007
I-414,1,2023-2024,20,260,420,1257,19580515-0017
I-415,2,2023-2024,50,280,360,1232,19600905-0003
I-416,1,2023-2024,40,280,200,1114,19600814-0002
I-417,3,2023-2024,50,260,200,1076,19570615-0011
I-418,2,2023-2024,40,260,300,1278,19650303-0019
I-419,3,2023-2024,20,280,280,1261,19620831-0024
I-420,2,2023-2024,20,240,280,1127,19660630-0020
I-421,3,2023-2024,50,240,420,1126,19620831-0024
I-422,2,2023-2024,20,240,300,1099,19601021-0018
I-423,4,2013-2014,40,280,200,1236,19620522-0023
I-424,2,2013-2014,60,240,300,1233,19611219-0014
I-425,3,2013-2014,40,240,300,1183,19610918-0027
I-426,1,2013-2014,60,260,200,1112,19610620-0006
I-427,4,2013-2014,20,260,240,1083,19610623-0005
I-428,2,2013-2014,60,240,300,1296,19640220-0029
I-429,1,2013-2014,60,280,300,1248,19600905-0003
I-430,2,2013-2014,50,260,360,1149,19570826-0012
I-431,4,2013-2014,20,260,240,1066,19570826-0012
I-432,4,2013-2014,60,280,420,1035,19630126-0001
I-433,1,2014-2015,60,260,240,1155,19590129-0004
I-434,1,2014-2015,60,280,420,1100,19590129-0004
I-435,4,2014-2015,40,280,200,1050,19690513-0015
I-436,2,2014-2015,20,280,420,1044,19640414-0013
I-437,2,2014-2015,20,260,280,1288,19650303-0019
I-438,2,2014-2015,40,260,240,1257,19560612-0010
I-439,3,2014-2015,60,280,200,1113,19630126-0001
I-440,2,2014-2015,60,260,300,1009,19610620-0006
I-441,1,2015-2016,50,240,200,1269,19580218-0007
I-442,2,2015-2016,20,280,280,1138,19690513-0015
I-443,1,2015-2016,20,240,200,1251,19680712-0028
I-444,1,2015-2016,60,280,360,1242,19610620-0006
I-445,1,2015-2016,60,260,300,1293,19630126-0001
I-446,1,2015-2016,50,260,200,1248,19560612-0010
I-447,2,2015-2016,50,240,240,1198,19650303-0019
I-448,3,2015-2016,60,240,300,1170,19640414-0013
I-449,1,2015-2016,60,280,200,1143,19650303-0019
I-450,2,2015-2016,40,260,240,1121,19680712-0028
I-451,3,2016-2017,20,260,200,1131,19570615-0011
I-452,2,2016-2017,20,280,200,1294,19600905-0003
I-453,3,2016-2017,40,240,360,1218,19590129-0004
I-454,4,2016-2017,60,260,360,1138,19600814-0002
I-455,4,2016-2017,50,280,200,1080,19570615-0011
I-456,2,2016-2017,20,280,200,1281,19610620-0006
I-457,2,2016-2017,60,280,300,1247,19600814-0002
I-458,1,2016-2017,40,260,280,1146,19560705-0025
I-459,2,2016-2017,40,280,280,1119,19620424-0026
I-460,4,2017-2018,20,280,420,1240,19560705-0025
I-461,4,2017-2018,40,260,300,1192,19580218-0007
I-462,2,2017-2018,50,260,240,1252,19570826-0012
I-463,4,2017-2018,50,240,420,1230,19690408-0009
I-464,2,2017-2018,60,280,240,1221,19611219-0014
I-465,4,2017-2018,40,280,280,1010,19560705-0025
I-466,3,2017-2018,60,240,360,1284,19610623-0005
I-467,1,2017-2018,50,260,420,1203,19570615-0011
I-468,3,2017-2018,50,280,240,1170,19580218-0007
I-469,3,2017-2018,60,240,360,1145,19590129-0004
I-470,4,2017-2018,50,240,360,1131,19610918-0027
I-471,2,2017-2018,40,280,300,1046,19630126-0001
I-472,1,2018-2019,50,260,360,1185,19690408-0009
I-473,4,2018-2019,60,260,300,1090,19570826-0012
I-474,3,2018-2019,40,240,200,1082,19620831-0024
I-475,4,2018-2019,50,260,240,1290,19620831-0024
I-476,1,2018-2019,40,260,200,1291,19610620-0006
I-477,2,2018-2019,40,260,360,1267,19610620-0006
I-478,1,2018-2019,50,280,360,1182,19690408-0009
I-479,4,2018-2019,50,260,200,1044,19690917-0022
I-480,4,2018-2019,20,260,200,1030,19640414-0013
I-481,1,2019-2020,50,240,280,1236,19570615-0011
I-482,4,2019-2020,20,260,280,1062,19570615-0011
I-483,4,2019-2020,40,260,420,1260,19620522-0023
I-484,3,2019-2020,20,260,360,1168,19690513-0015
I-485,2,2019-2020,20,280,240,1089,19620522-0023
I-486,2,2019-2020,20,280,200,1080,19630126-0001
I-487,1,2019-2020,20,280,280,1299,19630126-0001
I-488,3,2019-2020,40,280,240,1291,19570828-0008
I-489,1,2019-2020,20,260,420,1286,19690513-0015
I-490,3,2019-2020,60,240,280,1156,19620522-0023
I-491,3,2019-2020,40,240,420,1144,19640220-0029
I-492,3,2019-2020,40,260,280,1015,19560612-0010
I-493,1,2020-2021,20,240,300,1218,19690917-0022
I-494,2,2020-2021,50,240,300,1135,19630126-0001
I-495,1,2020-2021,50,280,280,1240,19640414-0013
I-496,2,2020-2021,60,280,300,1089,19680712-0028
