HourId,assignedHours,ReportedHours,assignedBy,reportedBy
WH398,240,260,I-160,19570615-0011
WH399,140,143,I-160,19750122-0056
WH400,280,281,I-161,19570826-0012
WH401,100,98,I-161,19760524-0046
WH402,140,155,I-161,19900701-0138
WH403,240,237,I-162,19640414-0013
WH404,140,121,I-162,19750906-0032
WH405,280,297,I-163,19561222-0030
WH406,100,102,I-163,19781217-0053
WH407,280,288,I-164,19600814-0002
WH408,100,110,I-164,19750102-0059
WH409,240,243,I-165,19650303-0019
WH410,120,134,I-165,19750705-0033
WH411,120,122,I-165,19900317-0083
WH412,240,235,I-166,19610918-0027
WH413,120,107,I-166,19751018-0039
WH414,260,246,I-167,19580515-0017
WH415,140,136,I-167,19770713-0042
WH416,100,115,I-167,19920602-0073
WH417,280,267,I-168,19570828-0008
WH418,120,131,I-168,19750722-0060
WH419,260,265,I-169,19640414-0013
WH420,100,120,I-169,19771013-0040
WH421,280,276,I-170,19610918-0027
WH422,120,128,I-170,19780317-0052
WH423,120,121,I-170,19910206-0081
WH424,280,280,I-171,19690917-0022
WH425,120,122,I-171,19771013-0040
WH426,140,159,I-171,19900616-0124
WH427,280,298,I-172,19580218-0007
WH428,120,116,I-172,19780602-0035
WH429,100,120,I-172,19900430-0112
WH430,280,276,I-173,19680712-0028
WH431,140,131,I-173,19781125-0031
WH432,260,261,I-174,19620831-0024
WH433,120,114,I-174,19790426-0049
WH434,120,106,I-174,19921002-0129
WH435,280,270,I-175,19611219-0014
WH436,100,86,I-175,19750512-0043
WH437,120,130,I-175,19900723-0126
WH438,260,267,I-176,19580515-0017
WH439,140,146,I-176,19781217-0053
WH440,260,271,I-177,19660630-0020
WH441,140,153,I-177,19760108-0050
WH442,280,264,I-178,19570826-0012
WH443,120,111,I-178,19750705-0033
WH444,260,276,I-179,19630126-0001
WH445,100,110,I-179,19790618-0048
WH446,140,145,I-179,19921208-0097
WH447,240,255,I-180,19690513-0015
WH448,120,128,I-180,19750512-0043
WH449,100,118,I-180,19920226-0075
WH450,280,261,I-181,19580515-0017
WH451,100,86,I-181,19750122-0056
WH452,120,122,I-181,19920505-0115
WH453,240,244,I-182,19640220-0029
WH454,100,91,I-182,19761009-0055
WH455,100,84,I-182,19921002-0129
WH456,240,227,I-183,19570615-0011
WH457,100,107,I-183,19780424-0057
WH458,280,280,I-184,19660630-0020
WH459,120,124,I-184,19790708-0041
WH460,100,101,I-184,19910101-0133
WH461,240,240,I-185,19690513-0015
WH462,140,155,I-185,19750417-0051
WH463,280,268,I-186,19610918-0027
WH464,100,106,I-186,19781125-0031
WH465,280,273,I-187,19560705-0025
WH466,100,89,I-187,19750220-0037
WH467,120,115,I-187,19931118-0062
WH468,240,257,I-188,19690917-0022
WH469,120,106,I-188,19780602-0035
WH470,100,104,I-188,19900619-0076
WH471,240,237,I-189,19600905-0003
WH472,140,150,I-189,19750122-0056
WH473,140,135,I-189,19910327-0096
WH474,280,278,I-190,19610623-0005
WH475,140,159,I-190,19760524-0046
WH476,140,155,I-190,19900902-0114
WH477,240,250,I-191,19690917-0022
WH478,120,132,I-191,19780317-0052
WH479,260,254,I-192,19560705-0025
WH480,120,124,I-192,19750122-0056
WH481,120,106,I-192,19920206-0072
WH482,280,290,I-193,19600905-0003
WH483,100,84,I-193,19761020-0044
WH484,280,272,I-194,19601021-0018
WH485,100,97,I-194,19790426-0049
WH486,100,107,I-194,19900128-0095
WH487,280,273,I-195,19620424-0026
WH488,120,123,I-195,19790717-0045
WH489,280,289,I-196,19580218-0007
WH490,120,118,I-196,19780815-0047
WH491,120,100,I-196,19930829-0082
WH492,280,265,I-197,19590129-0004
WH493,100,86,I-197,19750331-0036
WH494,260,275,I-198,19610623-0005
WH495,100,98,I-198,19750220-0037
WH496,140,126,I-198,19930829-0082
WH497,280,300,I-199,19560612-0010
WH498,120,123,I-199,19790702-0038
WH499,240,259,I-200,19630126-0001
WH500,120,107,I-200,19781125-0031
WH501,140,157,I-200,19901029-0071
WH502,260,273,I-201,19690513-0015
WH503,120,139,I-201,19790717-0045
WH504,120,109,I-201,19930221-0139
WH505,280,274,I-202,19690513-0015
WH506,120,129,I-202,19790717-0045
WH507,240,243,I-203,19611219-0014
WH508,120,104,I-203,19780815-0047
WH509,240,248,I-204,19610620-0006
WH510,140,127,I-204,19790426-0049
WH511,280,281,I-205,19600814-0002
WH512,120,128,I-205,19750220-0037
WH513,280,282,I-206,19580515-0017
WH514,140,133,I-206,19780602-0035
WH515,120,119,I-206,19900321-0080
WH516,240,230,I-207,19590129-0004
WH517,140,156,I-207,19771013-0040
WH518,240,239,I-208,19680712-0028
WH519,100,81,I-208,19750722-0060
WH520,280,261,I-209,19590129-0004
WH521,140,130,I-209,19750512-0043
WH522,280,265,I-210,19570615-0011
WH523,120,119,I-210,19770224-0058
WH524,120,107,I-210,19930906-0110
WH525,260,240,I-211,19690513-0015
WH526,100,105,I-211,19780317-0052
WH527,120,105,I-211,19900616-0124
WH528,240,246,I-212,19630126-0001
WH529,100,105,I-212,19761020-0044
WH530,240,220,I-213,19570828-0008
WH531,100,101,I-213,19780317-0052
WH532,280,290,I-214,19580515-0017
WH533,140,129,I-214,19790708-0041
WH534,100,115,I-214,19930326-0132
WH535,280,293,I-215,19630126-0001
WH536,140,148,I-215,19780317-0052
WH537,100,101,I-215,19911116-0069
WH538,280,264,I-216,19610623-0005
WH539,100,101,I-216,19750331-0036
WH540,140,140,I-216,19920226-0075
WH541,280,261,I-217,19580218-0007
WH542,100,84,I-217,19781130-0054
WH543,260,270,I-218,19650303-0019
WH544,140,120,I-218,19790426-0049
WH545,100,85,I-218,19900616-0124
WH546,240,243,I-219,19561222-0030
WH547,100,108,I-219,19750512-0043
WH548,260,278,I-220,19610918-0027
WH549,120,122,I-220,19751018-0039
WH550,100,104,I-220,19920122-0065
WH551,280,290,I-221,19610620-0006
WH552,140,125,I-221,19750722-0060
WH553,260,250,I-222,19580515-0017
WH554,120,102,I-222,19750705-0033
WH555,280,266,I-223,19640220-0029
WH556,120,109,I-223,19790426-0049
WH557,260,253,I-224,19690408-0009
WH558,140,136,I-224,19790426-0049
WH559,260,246,I-225,19690408-0009
WH560,120,120,I-225,19790702-0038
WH561,140,126,I-225,19900128-0095
WH562,280,264,I-226,19580515-0017
WH563,140,141,I-226,19750512-0043
WH564,240,245,I-227,19560812-0016
WH565,100,119,I-227,19771013-0040
WH566,280,278,I-228,19560812-0016
WH567,100,84,I-228,19790708-0041
WH568,100,85,I-228,19900511-0134
WH569,280,285,I-229,19611219-0014
WH570,120,100,I-229,19781217-0053
WH571,100,95,I-229,19921218-0101
WH572,280,271,I-230,19660630-0020
WH573,120,110,I-230,19790702-0038
WH574,280,289,I-231,19600814-0002
WH575,100,98,I-231,19770224-0058
WH576,280,268,I-232,19611219-0014
WH577,120,116,I-232,19760108-0050
WH578,260,263,I-233,19620831-0024
WH579,100,115,I-233,19760524-0046
WH580,240,230,I-234,19560705-0025
WH581,140,126,I-234,19750705-0033
WH582,240,259,I-235,19570826-0012
WH583,140,151,I-235,19790708-0041
WH584,240,224,I-236,19600529-0021
WH585,140,141,I-236,19780424-0057
WH586,240,241,I-237,19660630-0020
WH587,100,118,I-237,19750512-0043
WH588,240,223,I-238,19611219-0014
WH589,140,135,I-238,19750417-0051
WH590,120,105,I-238,19910122-0077
WH591,280,275,I-239,19600529-0021
WH592,120,138,I-239,19781130-0054
WH593,280,284,I-240,19600814-0002
WH594,120,135,I-240,19770224-0058
WH595,100,96,I-240,19900801-0130
WH596,280,287,I-241,19690917-0022
WH597,120,131,I-241,19760524-0046
WH598,240,255,I-242,19600905-0003
WH599,120,119,I-242,19780602-0035
WH600,260,261,I-243,19560705-0025
WH601,120,122,I-243,19780815-0047
WH602,260,263,I-244,19690917-0022
WH603,120,100,I-244,19790708-0041
WH604,100,107,I-244,19921201-0094
WH605,280,288,I-245,19580218-0007
WH606,140,137,I-245,19781125-0031
WH607,100,98,I-245,19900317-0083
WH608,260,243,I-246,19690917-0022
WH609,140,122,I-246,19750220-0037
WH610,280,295,I-247,19620831-0024
WH611,140,155,I-247,19790708-0041
WH612,240,242,I-248,19620831-0024
WH613,100,97,I-248,19761009-0055
WH614,140,132,I-248,19931118-0062
WH615,240,254,I-249,19690408-0009
WH616,120,110,I-249,19750102-0059
WH617,120,108,I-249,19900902-0114
WH618,240,223,I-250,19620522-0023
WH619,100,118,I-250,19750122-0056
WH620,240,221,I-251,19560705-0025
WH621,120,137,I-251,19760108-0050
WH622,140,151,I-251,19921127-0120
WH623,260,256,I-252,19610623-0005
WH624,100,109,I-252,19771013-0040
WH625,120,124,I-252,19920828-0070
WH626,280,286,I-253,19611219-0014
WH627,100,93,I-253,19750102-0059
WH628,260,273,I-254,19580515-0017
WH629,140,141,I-254,19780602-0035
WH630,240,249,I-255,19630126-0001
WH631,100,93,I-255,19780815-0047
WH632,240,236,I-256,19560705-0025
WH633,120,137,I-256,19790618-0048
WH634,260,240,I-257,19610918-0027
WH635,120,134,I-257,19750417-0051
WH636,120,115,I-257,19920828-0070
WH637,240,260,I-258,19690917-0022
WH638,140,120,I-258,19780317-0052
WH639,100,91,I-258,19920602-0073
WH640,280,291,I-259,19640414-0013
WH641,100,111,I-259,19781217-0053
WH642,280,262,I-260,19630126-0001
WH643,140,127,I-260,19790618-0048
WH644,140,157,I-260,19920320-0121
WH645,260,246,I-261,19610918-0027
WH646,120,133,I-261,19761009-0055
WH647,140,136,I-261,19930512-0117
WH648,280,284,I-262,19620522-0023
WH649,120,128,I-262,19750705-0033
WH650,240,232,I-263,19560705-0025
WH651,120,127,I-263,19790708-0041
WH652,260,266,I-264,19580218-0007
WH653,120,110,I-264,19761020-0044
WH654,260,240,I-265,19560705-0025
WH655,100,97,I-265,19790708-0041
WH656,240,232,I-266,19660630-0020
WH657,140,157,I-266,19761009-0055
WH658,140,160,I-266,19921002-0129
WH659,280,267,I-267,19600529-0021
WH660,120,138,I-267,19750331-0036
WH661,240,253,I-268,19690408-0009
WH662,120,110,I-268,19750331-0036
WH663,140,122,I-268,19920504-0093
WH664,240,259,I-269,19690513-0015
WH665,140,159,I-269,19761009-0055
WH666,100,104,I-269,19901108-0087
WH667,240,220,I-270,19600529-0021
WH668,120,140,I-270,19771013-0040
WH669,240,224,I-271,19690408-0009
WH670,120,125,I-271,19750417-0051
WH671,240,240,I-272,19580515-0017
WH672,140,136,I-272,19770713-0042
WH673,240,257,I-273,19620522-0023
WH674,140,132,I-273,19751018-0039
WH675,140,138,I-273,19900426-0089
WH676,260,251,I-274,19570828-0008
WH677,140,137,I-274,19750417-0051
WH678,240,223,I-275,19620831-0024
WH679,120,113,I-275,19790708-0041
WH680,120,104,I-275,19911025-0091
WH681,280,264,I-276,19570826-0012
WH682,100,107,I-276,19761020-0044
WH683,120,133,I-276,19901029-0071
WH684,240,232,I-277,19560705-0025
WH685,100,87,I-277,19761020-0044
WH686,100,83,I-277,19920505-0115
WH687,240,221,I-278,19620831-0024
WH688,140,139,I-278,19751018-0039
WH689,140,125,I-278,19920316-0107
WH690,260,260,I-279,19660630-0020
WH691,140,140,I-279,19780815-0047
WH692,120,138,I-279,19900520-0063
WH693,260,258,I-280,19560812-0016
WH694,120,102,I-280,19751018-0039
WH695,280,270,I-281,19610918-0027
WH696,100,81,I-281,19780424-0057
WH697,240,260,I-282,19680712-0028
WH698,120,100,I-282,19780602-0035
WH699,120,120,I-282,19921201-0094
WH700,260,271,I-283,19630126-0001
WH701,120,134,I-283,19750512-0043
WH702,260,260,I-284,19610620-0006
WH703,120,131,I-284,19750906-0032
WH704,140,126,I-284,19920917-0109
WH705,280,261,I-285,19590129-0004
WH706,140,130,I-285,19771013-0040
WH707,100,96,I-285,19931231-0099
WH708,240,248,I-286,19640220-0029
WH709,100,84,I-286,19780424-0057
WH710,140,157,I-286,19930829-0082
WH711,240,242,I-287,19570826-0012
WH712,120,130,I-287,19750122-0056
WH713,100,120,I-287,19900307-0105
WH714,240,229,I-288,19630126-0001
WH715,100,110,I-288,19780815-0047
WH716,140,154,I-288,19900511-0134
WH717,260,247,I-289,19611219-0014
WH718,100,87,I-289,19790717-0045
WH719,260,269,I-290,19620831-0024
WH720,140,152,I-290,19761024-0034
WH721,280,270,I-291,19590129-0004
WH722,120,105,I-291,19761009-0055
WH723,280,268,I-292,19600529-0021
WH724,120,113,I-292,19750722-0060
WH725,280,271,I-293,19570615-0011
WH726,120,104,I-293,19790717-0045
WH727,140,153,I-293,19900701-0138
WH728,260,247,I-294,19690513-0015
WH729,120,138,I-294,19790717-0045
WH730,120,113,I-294,19900723-0126
WH731,260,254,I-295,19560705-0025
WH732,120,132,I-295,19760108-0050
WH733,140,151,I-295,19931212-0079
